"Day"	"Phase"	"Vial"	"Observer"	"C_dur"	"P_court"	"Time"	"Session"	"Trt"	"Population"
3	"Dark"	12	"A"	8	0.00888888888888889	8	2	"S"	4
3	"Dark"	13	"R"	109	0.121111111111111	8	2	"C"	1
3	"Dark"	14	"R"	81	0.09	8	2	"P"	1
3	"Dark"	15	"R"	16	0.0177777777777778	8	2	"S"	1
3	"Dark"	16	"R"	230	0.255555555555556	8	2	"C"	2
3	"Dark"	17	"A"	228	0.253333333333333	8	3	"P"	2
3	"Dark"	18	"A"	607	0.674444444444444	8	3	"S"	2
3	"Dark"	19	"A"	29	0.0322222222222222	8	3	"C"	3
3	"Dark"	20	"A"	27	0.03	8	3	"P"	3
3	"Dark"	21	"R"	23	0.0255555555555556	8	3	"S"	3
3	"Dark"	22	"R"	2	0.00222222222222222	8	3	"C"	4
3	"Dark"	23	"R"	28	0.0311111111111111	8	3	"P"	4
3	"Dark"	24	"R"	79	0.0877777777777778	8	3	"S"	4
3	"Light"	25	"A"	92	0.102222222222222	11	4	"C"	1
3	"Light"	26	"A"	0	0	11	4	"P"	1
3	"Light"	27	"A"	0	0	11	4	"S"	1
3	"Light"	28	"A"	249	0.276666666666667	11	4	"C"	2
3	"Light"	29	"R"	0	0	11	4	"P"	2
3	"Light"	30	"R"	110	0.122222222222222	11	4	"S"	2
3	"Light"	31	"R"	319	0.354444444444444	11	4	"C"	3
3	"Light"	32	"R"	264	0.293333333333333	11	4	"P"	3
3	"Light"	33	"A"	520	0.577777777777778	11	5	"S"	3
3	"Light"	34	"A"	485	0.538888888888889	11	5	"C"	4
3	"Light"	35	"A"	358	0.397777777777778	11	5	"P"	4
3	"Light"	36	"A"	350	0.388888888888889	11	5	"S"	4
3	"Light"	37	"R"	399	0.443333333333333	11	5	"C"	1
3	"Light"	38	"R"	197	0.218888888888889	11	5	"P"	1
3	"Light"	39	"R"	339	0.376666666666667	11	5	"S"	1
3	"Light"	40	"R"	346	0.384444444444444	11	5	"C"	2
3	"Light"	41	"A"	50	0.0555555555555556	11	6	"P"	2
3	"Light"	42	"A"	661	0.734444444444444	11	6	"S"	2
3	"Light"	43	"A"	646	0.717777777777778	11	6	"C"	3
3	"Light"	44	"A"	151	0.167777777777778	11	6	"P"	3
3	"Light"	45	"R"	616	0.684444444444444	11	6	"S"	3
3	"Light"	46	"R"	433	0.481111111111111	11	6	"C"	4
3	"Light"	47	"R"	0	0	11	6	"P"	4
3	"Light"	48	"R"	163	0.181111111111111	11	6	"S"	4
4	"Dark"	1	"A"	3	0.00333333333333333	8	1	"S"	4
4	"Dark"	2	"A"	0	0	8	1	"P"	4
4	"Dark"	3	"A"	2	0.00222222222222222	8	1	"C"	4
4	"Dark"	4	"A"	66	0.0733333333333333	8	1	"S"	3
4	"Dark"	5	"R"	8	0.00888888888888889	8	1	"P"	3
4	"Dark"	6	"R"	14	0.0155555555555556	8	1	"C"	3
4	"Dark"	7	"R"	10	0.0111111111111111	8	1	"S"	2
4	"Dark"	8	"R"	3	0.00333333333333333	8	1	"P"	2
4	"Dark"	9	"A"	0	0	8	2	"C"	2
4	"Dark"	10	"A"	248	0.275555555555556	8	2	"S"	1
4	"Dark"	11	"A"	73	0.0811111111111111	8	2	"P"	1
4	"Dark"	12	"A"	0	0	8	2	"C"	1
4	"Dark"	13	"R"	170	0.188888888888889	8	2	"S"	4
4	"Dark"	14	"R"	81	0.09	8	2	"P"	4
4	"Dark"	15	"R"	263	0.292222222222222	8	2	"C"	4
4	"Dark"	16	"R"	18	0.02	8	2	"S"	3
4	"Dark"	17	"A"	39	0.0433333333333333	8	3	"P"	3
4	"Dark"	18	"A"	373	0.414444444444444	8	3	"C"	3
4	"Dark"	19	"A"	33	0.0366666666666667	8	3	"S"	2
4	"Dark"	20	"A"	23	0.0255555555555556	8	3	"P"	2
4	"Dark"	21	"R"	8	0.00888888888888889	8	3	"C"	2
4	"Dark"	22	"R"	77	0.0855555555555556	8	3	"S"	1
4	"Dark"	23	"R"	180	0.2	8	3	"P"	1
4	"Dark"	24	"R"	8	0.00888888888888889	8	3	"C"	1
4	"Light"	25	"A"	350	0.388888888888889	11	4	"S"	4
4	"Light"	26	"A"	642	0.713333333333333	11	4	"P"	4
4	"Light"	28	"A"	338	0.375555555555556	11	4	"S"	3
4	"Light"	29	"R"	740	0.822222222222222	11	4	"P"	3
4	"Light"	30	"R"	349	0.387777777777778	11	4	"C"	3
4	"Light"	31	"R"	30	0.0333333333333333	11	4	"S"	2
4	"Light"	32	"R"	347	0.385555555555556	11	4	"P"	2
4	"Light"	33	"A"	474	0.526666666666667	11	5	"C"	2
4	"Light"	34	"A"	219	0.243333333333333	11	5	"S"	1
4	"Light"	37	"R"	425	0.472222222222222	11	5	"S"	4
4	"Light"	38	"R"	657	0.73	11	5	"P"	4
4	"Light"	39	"R"	508	0.564444444444444	11	5	"C"	4
4	"Light"	40	"R"	519	0.576666666666667	11	5	"S"	3
4	"Light"	41	"A"	529	0.587777777777778	11	6	"P"	3
4	"Light"	42	"A"	664	0.737777777777778	11	6	"C"	3
4	"Light"	43	"A"	625	0.694444444444444	11	6	"S"	2
4	"Light"	44	"A"	268	0.297777777777778	11	6	"P"	2
4	"Light"	45	"R"	328	0.364444444444444	11	6	"C"	2
4	"Light"	46	"R"	573	0.636666666666667	11	6	"S"	1
4	"Light"	47	"R"	255	0.283333333333333	11	6	"P"	1
4	"Light"	48	"R"	243	0.27	11	6	"C"	1
5	"Light"	25	"A"	682	0.757777777777778	11	4	"C"	1
5	"Light"	26	"A"	740	0.822222222222222	11	4	"P"	1
5	"Light"	28	"A"	753	0.836666666666667	11	4	"C"	2
5	"Light"	29	"R"	508	0.564444444444444	11	4	"P"	2
5	"Light"	30	"R"	334	0.371111111111111	11	4	"S"	2
5	"Light"	32	"R"	516	0.573333333333333	11	4	"P"	3
5	"Light"	33	"A"	377	0.418888888888889	11	5	"S"	3
5	"Light"	34	"A"	301	0.334444444444444	11	5	"C"	4
5	"Light"	35	"A"	9	0.01	11	5	"P"	4
5	"Light"	36	"A"	517	0.574444444444444	11	5	"S"	4
5	"Light"	37	"R"	128	0.142222222222222	11	5	"C"	1
5	"Light"	38	"R"	305	0.338888888888889	11	5	"P"	1
5	"Light"	39	"R"	159	0.176666666666667	11	5	"S"	1
5	"Light"	40	"R"	623	0.692222222222222	11	5	"C"	2
5	"Light"	41	"A"	394	0.437777777777778	11	6	"P"	2
5	"Light"	42	"A"	701	0.778888888888889	11	6	"S"	2
5	"Light"	43	"A"	668	0.742222222222222	11	6	"C"	3
5	"Light"	44	"A"	639	0.71	11	6	"P"	3
5	"Light"	45	"R"	473	0.525555555555556	11	6	"S"	3
5	"Light"	46	"R"	233	0.258888888888889	11	6	"C"	4
5	"Light"	47	"R"	271	0.301111111111111	11	6	"P"	4
5	"Light"	48	"R"	761	0.845555555555556	11	6	"S"	4
