Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
13,LTP,1,2,9:59,10:58,11:20,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
14,LTP,2,2,,11:17,,0,7/15/14,22,65,9:08,9:14,9:20,,,11:25
15,LTP,3,2,9:24,9:53,10:19,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
16,LTP,4,2,9:33,9:41,10:03,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
17,LTS,1,2,9:24,9:44,10:07,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
18,LTS,2,2,9:29,10:38,11:07,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
19,LTS,3,2,9:57,10:15,10:37,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
20,LTS,4,2,9:30,9:44,10:06,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
21,LTC,1,2,9:32,9:34,10:02,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
22,LTC,2,2,9:54,10:29,10:56,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
23,LTC,3,2,9:30,9:50,10:10,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
24,LTC,4,2,9:22,,,0,7/15/14,22,65,9:08,9:14,9:20,,,11:25
25,LTP,1,3,9:47,9:59,10:19,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
26,LTP,2,3,9:25,9:32,9:46,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
27,LTP,3,3,11:16,11:25,,0,7/15/14,22,65,9:08,9:14,9:20,,,11:25
28,LTP,4,3,9:29,9:31,10:05,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
29,LTS,1,3,9:23,9:26,9:55,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
30,LTS,2,3,9:28,9:35,10:02,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
31,LTS,3,3,,9:58,10:26,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
32,LTS,4,3,9:38,9:44,10:13,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
33,LTC,1,3,9:30,,,0,7/15/14,22,65,9:08,9:14,9:20,,,11:25
34,LTC,2,3,9:52,9:56,10:15,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
35,LTC,3,3,10:01,10:10,10:32,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
36,LTC,4,3,,9:48,10:08,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
37,LTP,1,4,10:35,10:35,11:15,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
39,LTP,3,4,9:53,9:54,10:24,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
40,LTP,4,4,9:41,10:59,11:29,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
41,LTS,1,4,,9:45,10:14,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
42,LTS,2,4,10:12,10:23,10:47,1,7/15/14,22,65,9:08,9:14,9:20,,,11:25
