""	""	""	""	""	""	""	""	""	"Light"	"M1"	"M2"	"M3"	"M4"	"M5"	"M6"	"M7"	"M8"	"M9"	"M10"	"M11"	"M12"	"M13"	"M14"	"M15"	"M16"	"M17"	"M18"	"M19"	"M20"	"M21"	"M22"	"M23"	"M24"	"M25"	"M26"	"M27"	"M28"	"M29"	"M30"	"M31"	"M32"
32	2016-06-23	1899-12-30 08:35:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	2016-06-23	1899-12-30 08:36:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
34	2016-06-23	1899-12-30 08:37:00	1	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	2016-06-23	1899-12-30 08:38:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	2016-06-23	1899-12-30 08:39:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	5	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
37	2016-06-23	1899-12-30 08:40:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
38	2016-06-23	1899-12-30 08:41:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	33	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
39	2016-06-23	1899-12-30 08:42:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0
40	2016-06-23	1899-12-30 08:43:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0
41	2016-06-23	1899-12-30 08:44:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	0	0	0
42	2016-06-23	1899-12-30 08:45:00	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
43	2016-06-23	1899-12-30 08:46:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
44	2016-06-23	1899-12-30 08:47:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
45	2016-06-23	1899-12-30 08:48:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0
46	2016-06-23	1899-12-30 08:49:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	10	2	0	0	0
47	2016-06-23	1899-12-30 08:50:00	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4	0	0	0	0
48	2016-06-23	1899-12-30 08:51:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
49	2016-06-23	1899-12-30 08:52:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	2016-06-23	1899-12-30 08:53:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	2016-06-23	1899-12-30 08:54:00	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
52	2016-06-23	1899-12-30 08:55:00	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
53	2016-06-23	1899-12-30 08:56:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
54	2016-06-23	1899-12-30 08:57:00	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
55	2016-06-23	1899-12-30 08:58:00	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
56	2016-06-23	1899-12-30 08:59:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	2016-06-23	1899-12-30 09:00:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
58	2016-06-23	1899-12-30 09:01:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
59	2016-06-23	1899-12-30 09:02:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
60	2016-06-23	1899-12-30 09:03:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
61	2016-06-23	1899-12-30 09:04:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	2016-06-23	1899-12-30 09:05:00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
63	2016-06-23	1899-12-30 09:06:00	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2	0	0
