""	""	""	""	""	""	""	""	""	"Light"	"F"	"F"	"F"	"F"	"F"	"F"	"F"	"C"	"C"	"C"	"C"	"C"	"SF"	"SF"	"SF"	"SF"	"SF"	"SF"	"SF"	"SC"	"SC"	"SC"	"SC"	"SC"	"SC"	"SC"	"SC"
8	2016-06-15	1899-12-30 12:11:00	1	0	0	0	0	0	1	0	5	7	3	0	4	4	2	0	3	6	2	7	4	1	7	1	5	5	7	5	6	5	1	10	7	0
9	2016-06-15	1899-12-30 12:12:00	1	0	0	0	0	0	1	3	5	0	5	5	0	5	1	0	3	4	2	6	3	3	2	3	0	2	7	4	5	4	2	12	2	6
10	2016-06-15	1899-12-30 12:13:00	1	0	0	0	0	0	1	12	3	2	0	2	4	5	3	3	4	3	1	9	2	3	0	5	4	6	7	8	2	4	0	6	0	0
11	2016-06-15	1899-12-30 12:14:00	1	0	0	0	0	0	1	0	2	0	0	3	10	4	4	3	4	4	3	5	2	6	0	2	5	3	2	3	5	3	6	8	6	0
12	2016-06-15	1899-12-30 12:15:00	1	0	0	0	0	0	1	0	7	6	1	6	2	7	7	3	10	4	1	6	5	6	4	3	5	4	10	6	3	2	8	4	10	3
13	2016-06-15	1899-12-30 12:16:00	1	0	0	0	0	0	1	0	2	2	2	5	3	3	7	5	4	5	0	7	4	5	5	8	5	3	2	7	3	2	1	4	0	3
14	2016-06-15	1899-12-30 12:17:00	1	0	0	0	0	0	1	0	0	3	3	0	0	3	4	3	2	2	0	9	2	0	0	2	4	5	6	5	3	8	3	7	5	0
15	2016-06-15	1899-12-30 12:18:00	1	0	0	0	0	0	1	0	2	6	0	0	2	8	4	0	2	5	0	7	2	4	8	2	3	7	5	8	1	4	4	5	2	3
16	2016-06-15	1899-12-30 12:19:00	1	0	0	0	0	0	1	0	4	2	2	0	5	9	2	4	4	0	0	8	2	6	1	4	2	2	4	2	1	6	1	1	3	3
17	2016-06-15	1899-12-30 12:20:00	1	0	0	0	0	0	1	0	4	2	0	0	3	1	2	5	4	3	0	6	3	0	0	5	2	4	9	3	6	3	7	4	7	0
18	2016-06-15	1899-12-30 12:21:00	1	0	0	0	0	0	1	0	4	3	1	2	4	5	7	2	2	2	2	5	3	0	0	5	3	3	7	7	5	2	3	0	6	0
19	2016-06-15	1899-12-30 12:22:00	1	0	0	0	0	0	1	0	5	5	3	0	2	8	2	1	1	6	2	4	9	5	3	5	3	1	2	8	4	5	0	1	6	0
20	2016-06-15	1899-12-30 12:23:00	1	0	0	0	0	0	1	0	4	2	0	5	4	10	3	1	4	2	3	7	5	1	6	0	20	2	3	6	2	2	5	3	5	0
21	2016-06-15	1899-12-30 12:24:00	1	0	0	0	0	0	1	0	2	6	0	0	0	4	5	2	3	5	2	6	3	2	4	4	4	6	8	3	1	2	2	4	1	0
22	2016-06-15	1899-12-30 12:25:00	1	0	0	0	0	0	1	0	3	2	0	3	1	11	1	2	2	4	2	3	2	0	0	6	4	5	3	6	1	3	0	3	2	0
23	2016-06-15	1899-12-30 12:26:00	1	0	0	0	0	0	1	0	7	6	0	1	2	0	4	2	3	4	4	8	3	0	0	1	5	2	0	5	0	5	0	4	0	0
24	2016-06-15	1899-12-30 12:27:00	1	0	0	0	0	0	1	0	4	2	0	0	2	2	5	3	6	2	4	7	3	0	0	4	3	1	2	6	0	2	0	4	0	0
25	2016-06-15	1899-12-30 12:28:00	1	0	0	0	0	0	1	0	2	2	0	2	8	3	3	5	4	2	3	6	4	0	1	0	0	2	5	2	0	3	4	6	0	0
26	2016-06-15	1899-12-30 12:29:00	1	0	0	0	0	0	1	0	3	0	0	0	4	0	4	0	5	5	2	8	4	0	5	6	5	0	4	4	0	2	1	7	0	0
27	2016-06-15	1899-12-30 12:30:00	1	0	0	0	0	0	1	0	3	2	0	8	1	2	2	1	4	6	0	7	3	0	0	3	9	0	6	3	0	2	0	0	0	0
28	2016-06-15	1899-12-30 12:31:00	1	0	0	0	0	0	1	0	7	3	0	0	11	2	4	1	4	5	1	7	3	0	0	5	9	0	6	3	0	3	0	5	0	0
29	2016-06-15	1899-12-30 12:32:00	1	0	0	0	0	0	1	0	1	4	0	0	0	5	2	0	2	5	3	6	6	0	2	0	0	0	3	2	0	0	0	2	0	0
30	2016-06-15	1899-12-30 12:33:00	1	0	0	0	0	0	1	0	3	3	0	7	3	0	2	0	0	0	2	5	2	3	0	5	5	0	10	3	0	5	0	3	0	0
31	2016-06-15	1899-12-30 12:34:00	1	0	0	0	0	0	1	0	2	0	0	0	4	0	3	2	4	6	0	8	3	0	0	4	4	0	2	6	0	2	0	7	0	0
32	2016-06-15	1899-12-30 12:35:00	1	0	0	0	0	0	1	0	5	3	0	2	19	0	6	0	0	0	2	6	5	0	0	5	5	0	4	0	0	4	0	4	0	0
33	2016-06-15	1899-12-30 12:36:00	1	0	0	0	0	0	1	0	3	1	0	2	5	0	2	4	2	2	1	5	5	0	0	4	8	0	4	2	0	9	0	4	0	0
34	2016-06-15	1899-12-30 12:37:00	1	0	0	0	0	0	1	0	4	3	0	4	4	0	2	4	7	3	1	4	2	0	0	4	2	0	0	2	0	2	0	6	0	0
35	2016-06-15	1899-12-30 12:38:00	1	0	0	0	0	0	1	0	0	3	0	4	2	0	4	0	4	3	0	4	3	0	0	3	2	0	0	0	0	8	0	4	0	0
36	2016-06-15	1899-12-30 12:39:00	1	0	0	0	0	0	1	0	4	3	0	0	2	0	4	2	2	1	0	7	7	0	5	6	5	0	0	0	0	0	0	4	0	0
37	2016-06-15	1899-12-30 12:40:00	1	0	0	0	0	0	1	0	3	3	0	0	2	0	2	0	0	6	0	6	2	0	2	6	3	0	0	0	0	2	0	5	0	0
38	2016-06-15	1899-12-30 12:41:00	1	0	0	0	0	0	1	0	3	5	0	0	1	0	3	0	3	3	0	7	2	0	1	2	2	0	0	0	0	2	0	0	0	0
39	2016-06-15	1899-12-30 12:42:00	1	0	0	0	0	0	1	0	0	7	0	0	9	0	1	2	1	1	0	3	1	0	3	0	2	0	0	0	0	2	0	1	0	0
40	2016-06-15	1899-12-30 12:43:00	1	0	0	0	0	0	1	0	4	6	0	2	4	0	1	0	5	3	0	8	1	0	0	2	1	0	0	0	0	4	0	3	0	0
41	2016-06-15	1899-12-30 12:44:00	1	0	0	0	0	0	1	0	2	4	0	2	2	0	1	0	5	5	0	5	0	0	0	1	3	0	0	0	0	5	0	3	0	0
42	2016-06-15	1899-12-30 12:45:00	1	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	2	0	0	6	4	0	0	2	3	0	0	0	0	3	0	5	0	0
43	2016-06-15	1899-12-30 12:46:00	1	0	0	0	0	0	1	0	3	7	0	0	8	0	3	0	0	4	0	5	4	0	0	6	2	0	0	0	0	4	0	3	2	0
44	2016-06-15	1899-12-30 12:47:00	1	0	0	0	0	0	1	0	4	3	0	0	0	0	1	2	0	3	0	3	2	0	0	4	4	0	0	0	0	0	0	5	3	0
45	2016-06-15	1899-12-30 12:48:00	1	0	0	0	0	0	1	0	2	2	0	6	2	0	0	2	0	6	0	2	4	0	0	2	3	0	0	0	0	6	0	2	5	0
46	2016-06-15	1899-12-30 12:49:00	1	0	0	0	0	0	1	0	3	0	0	3	2	0	0	0	0	4	0	9	4	0	0	1	2	0	0	0	0	0	0	0	2	0
47	2016-06-15	1899-12-30 12:50:00	1	0	0	0	0	0	1	0	6	5	0	2	4	0	0	0	0	5	0	6	2	0	0	3	0	0	0	0	0	0	0	0	3	0
48	2016-06-15	1899-12-30 12:51:00	1	0	0	0	0	0	1	0	5	2	0	2	3	0	0	0	0	4	0	5	0	0	0	2	3	0	0	0	0	0	0	0	0	0
49	2016-06-15	1899-12-30 12:52:00	1	0	0	0	0	0	1	0	2	0	0	0	4	0	0	0	0	1	0	6	0	0	0	6	0	0	0	0	0	5	0	0	0	0
50	2016-06-15	1899-12-30 12:53:00	1	0	0	0	0	0	1	0	4	4	0	0	5	0	0	0	0	5	0	6	0	0	0	0	4	0	0	0	0	6	0	0	0	0
51	2016-06-15	1899-12-30 12:54:00	1	0	0	0	0	0	1	0	4	6	0	0	5	0	0	0	0	1	0	7	0	0	0	2	1	0	0	0	0	3	0	3	0	0
52	2016-06-15	1899-12-30 12:55:00	1	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0	0	6	0	8	4	0	0	1	3	0	0	0	0	7	0	0	0	0
53	2016-06-15	1899-12-30 12:56:00	1	0	0	0	0	0	1	0	4	4	0	0	2	0	0	0	0	2	0	7	0	0	0	3	4	0	0	0	0	4	0	0	0	0
54	2016-06-15	1899-12-30 12:57:00	1	0	0	0	0	0	1	0	2	2	0	1	4	0	0	0	0	2	0	5	3	0	0	5	2	0	0	0	0	2	0	1	0	0
55	2016-06-15	1899-12-30 12:58:00	1	0	0	0	0	0	1	0	1	4	0	6	1	0	0	0	0	5	0	4	3	0	0	2	4	0	0	0	0	3	0	2	0	0
56	2016-06-15	1899-12-30 12:59:00	1	0	0	0	0	0	1	0	2	4	0	2	1	0	0	0	0	2	0	6	0	0	0	4	1	0	0	0	0	4	0	6	0	0
57	2016-06-15	1899-12-30 13:00:00	1	0	0	0	0	0	1	0	6	5	0	0	1	0	0	0	0	0	0	7	3	0	0	8	4	0	0	0	0	0	0	0	0	0
58	2016-06-15	1899-12-30 13:01:00	1	0	0	0	0	0	1	0	2	4	0	4	5	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	12	0	0
59	2016-06-15	1899-12-30 13:02:00	1	0	0	0	0	0	1	0	3	4	0	0	3	0	0	0	0	0	0	5	4	0	0	2	2	0	0	0	0	2	0	8	0	0
60	2016-06-15	1899-12-30 13:03:00	1	0	0	0	0	0	1	0	3	3	0	0	3	0	0	0	0	1	0	4	3	0	0	2	4	0	0	0	0	0	0	0	0	0
61	2016-06-15	1899-12-30 13:04:00	1	0	0	0	0	0	1	0	6	2	0	0	1	0	0	0	0	4	0	5	0	0	0	2	6	0	0	0	0	5	0	0	0	0
62	2016-06-15	1899-12-30 13:05:00	1	0	0	0	0	0	1	0	3	5	0	0	0	0	0	0	0	5	0	7	2	0	0	2	1	0	0	0	0	4	0	0	0	0
63	2016-06-15	1899-12-30 13:06:00	1	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	2	0	5	3	0	0	0	3	0	0	0	0	1	0	0	0	0
64	2016-06-15	1899-12-30 13:07:00	1	0	0	0	0	0	1	0	3	5	0	0	0	0	0	0	0	5	0	2	5	0	0	0	7	0	0	0	0	4	0	0	0	0
65	2016-06-15	1899-12-30 13:08:00	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	6	0	4	0	0	0	0	5	0	0	0	0	5	0	0	0	0
66	2016-06-15	1899-12-30 13:09:00	1	0	0	0	0	0	1	0	5	8	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5	0	0	0	0
67	2016-06-15	1899-12-30 13:10:00	1	0	0	0	0	0	1	0	3	4	0	0	0	0	0	0	0	4	0	6	3	0	0	0	2	0	0	0	0	0	0	0	0	0
68	2016-06-15	1899-12-30 13:11:00	1	0	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	7	0	7	2	0	0	0	3	0	0	0	0	0	0	0	0	0
69	2016-06-15	1899-12-30 13:12:00	1	0	0	0	0	0	1	0	4	1	0	0	0	0	0	0	0	4	0	4	2	0	0	0	3	0	0	0	0	0	0	0	0	0
70	2016-06-15	1899-12-30 13:13:00	1	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	6	0	6	3	0	0	0	6	0	0	0	0	0	0	0	0	0
71	2016-06-15	1899-12-30 13:14:00	1	0	0	0	0	0	1	0	4	5	0	0	0	0	0	0	0	0	0	1	4	0	0	0	2	0	0	0	0	0	0	0	0	0
72	2016-06-15	1899-12-30 13:15:00	1	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	5	0	2	1	0	0	0	3	0	0	0	0	0	0	0	0	0
73	2016-06-15	1899-12-30 13:16:00	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	4	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0
74	2016-06-15	1899-12-30 13:17:00	1	0	0	0	0	0	1	0	3	0	0	2	0	0	0	0	0	2	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0
75	2016-06-15	1899-12-30 13:18:00	1	0	0	0	0	0	1	0	5	6	0	2	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	2016-06-15	1899-12-30 13:19:00	1	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	2016-06-15	1899-12-30 13:20:00	1	0	0	0	0	0	1	0	6	5	0	3	0	0	0	0	0	3	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0
78	2016-06-15	1899-12-30 13:21:00	1	0	0	0	0	0	1	0	1	5	0	2	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	2016-06-15	1899-12-30 13:22:00	1	0	0	0	0	0	1	0	2	3	0	3	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	2016-06-15	1899-12-30 13:23:00	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
81	2016-06-15	1899-12-30 13:24:00	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	2016-06-15	1899-12-30 13:25:00	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0
83	2016-06-15	1899-12-30 13:26:00	1	0	0	0	0	0	1	0	7	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0
84	2016-06-15	1899-12-30 13:27:00	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	4	0	7	0	0	0	0	1	0	0	0	0	0	0	0	0	0
85	2016-06-15	1899-12-30 13:28:00	1	0	0	0	0	0	1	0	5	5	0	2	0	0	0	0	0	3	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0
86	2016-06-15	1899-12-30 13:29:00	1	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	4	6	5	0	0	0	0	2	3	0	0	0	0	0	0	0	0
87	2016-06-15	1899-12-30 13:30:00	1	0	0	0	0	0	1	0	2	4	0	0	0	0	0	0	0	4	0	7	0	0	0	0	1	2	0	0	0	0	0	0	0	0
88	2016-06-15	1899-12-30 13:31:00	1	0	0	0	0	0	1	0	6	2	0	0	0	0	0	0	0	2	2	9	0	0	0	0	4	2	0	0	0	0	0	0	0	0
89	2016-06-15	1899-12-30 13:32:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	2016-06-15	1899-12-30 13:33:00	1	0	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0
91	2016-06-15	1899-12-30 13:34:00	1	0	0	0	0	0	1	0	7	3	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0
92	2016-06-15	1899-12-30 13:35:00	1	0	0	0	0	0	1	0	2	6	0	0	0	0	0	0	0	7	4	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0
93	2016-06-15	1899-12-30 13:36:00	1	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	5	2	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0
94	2016-06-15	1899-12-30 13:37:00	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	2016-06-15	1899-12-30 13:38:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0
96	2016-06-15	1899-12-30 13:39:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0
97	2016-06-15	1899-12-30 13:40:00	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0
98	2016-06-15	1899-12-30 13:41:00	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
99	2016-06-15	1899-12-30 13:42:00	1	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	6	0	0	0	0	0	0	0	0
100	2016-06-15	1899-12-30 13:43:00	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0
101	2016-06-15	1899-12-30 13:44:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0
102	2016-06-15	1899-12-30 13:45:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
103	2016-06-15	1899-12-30 13:46:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0
104	2016-06-15	1899-12-30 13:47:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0
105	2016-06-15	1899-12-30 13:48:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0
106	2016-06-15	1899-12-30 13:49:00	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107	2016-06-15	1899-12-30 13:50:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	2016-06-15	1899-12-30 13:51:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109	2016-06-15	1899-12-30 13:52:00	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
110	2016-06-15	1899-12-30 13:53:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	2016-06-15	1899-12-30 13:54:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	2016-06-15	1899-12-30 13:55:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
113	2016-06-15	1899-12-30 13:56:00	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
114	2016-06-15	1899-12-30 13:57:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	2016-06-15	1899-12-30 13:58:00	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
116	2016-06-15	1899-12-30 13:59:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117	2016-06-15	1899-12-30 14:00:00	1	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	2016-06-15	1899-12-30 14:01:00	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	2016-06-15	1899-12-30 14:02:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	2016-06-15	1899-12-30 14:03:00	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	2016-06-15	1899-12-30 14:04:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
122	2016-06-15	1899-12-30 14:05:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	2016-06-15	1899-12-30 14:06:00	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124	2016-06-15	1899-12-30 14:07:00	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	2016-06-15	1899-12-30 14:08:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126	2016-06-15	1899-12-30 14:09:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	2016-06-15	1899-12-30 14:10:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128	2016-06-15	1899-12-30 14:11:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	2016-06-15	1899-12-30 14:12:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	2016-06-15	1899-12-30 14:13:00	1	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	2016-06-15	1899-12-30 14:14:00	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	2016-06-15	1899-12-30 14:15:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	2016-06-15	1899-12-30 14:16:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	2016-06-15	1899-12-30 14:17:00	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	2016-06-15	1899-12-30 14:18:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	2016-06-15	1899-12-30 14:19:00	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	2016-06-15	1899-12-30 14:20:00	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	2016-06-15	1899-12-30 14:21:00	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
139	2016-06-15	1899-12-30 14:22:00	1	0	0	0	0	0	1	0	3	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
140	2016-06-15	1899-12-30 14:23:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
141	2016-06-15	1899-12-30 14:24:00	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0
142	2016-06-15	1899-12-30 14:25:00	1	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
143	2016-06-15	1899-12-30 14:26:00	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	2016-06-15	1899-12-30 14:27:00	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
145	2016-06-15	1899-12-30 14:28:00	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	4	0	8	1	0	0	0	0	0	0	0	0	0	2	0	0	0
146	2016-06-15	1899-12-30 14:29:00	1	0	0	0	0	0	1	0	0	0	0	0	2	0	5	0	0	3	0	2	4	0	0	0	0	0	0	0	0	0	2	0	0	0
147	2016-06-15	1899-12-30 14:30:00	1	0	0	0	0	0	1	0	0	0	0	0	4	0	9	0	0	2	0	6	4	0	0	0	0	0	0	0	0	0	9	0	0	0
148	2016-06-15	1899-12-30 14:31:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	7	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0
149	2016-06-15	1899-12-30 14:32:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	1	4	7	4	0	0	0	0	0	0	0	0	0	2	0	0	0
150	2016-06-15	1899-12-30 14:33:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	1	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0
151	2016-06-15	1899-12-30 14:34:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	2	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0
152	2016-06-15	1899-12-30 14:35:00	1	0	0	0	0	0	1	0	0	0	0	0	2	0	6	0	0	2	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0
153	2016-06-15	1899-12-30 14:36:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	6	0	4	2	0	0	0	0	0	3	0	0	0	0	0	0	0
154	2016-06-15	1899-12-30 14:37:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	5	0	5	3	0	0	0	0	0	5	0	0	0	0	0	0	0
155	2016-06-15	1899-12-30 14:38:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	5	5	0	0	0	0	0	4	0	0	0	2	0	0	0
156	2016-06-15	1899-12-30 14:39:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	2016-06-15	1899-12-30 14:40:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	2	0	7	3	0	0	0	0	0	4	0	0	0	0	0	0	0
158	2016-06-15	1899-12-30 14:41:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0
159	2016-06-15	1899-12-30 14:42:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
160	2016-06-15	1899-12-30 14:43:00	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
